seg_id,s_start,s_end,length_m,n_samples,valid_ratio,mean_speed_mps,mean_speed_kmh,grms,iri_psd_raw,iri_psd,psd_band_power,psd_sqrt_scalar,psd_scalar_mode,psd_n_samples_used,psd_df_hz,fs_used_hz,iri_multi,anomaly_count
-1,-4.080037583723336,-0.11912518492509094,3.9609123987982455,22,1.0,6.968059695204091,25.085014902734727,0.14402213899890515,,,,,band_power_sqrt,22,,52.631578947353304,9.052093140260823,0
0,0.06948969120815882,99.87806579965373,99.80857610844556,543,1.0,9.689152039897989,34.88094734363276,0.12831327088690345,-0.7723965643986594,0.0,0.0046189822945075145,0.06796309509217127,band_power_sqrt,543,0.25062656641596814,52.631578947353304,7.673866950411015,0
1,100.07700988693165,199.9735813403855,99.89657145345384,502,1.0,10.490351110205488,37.765263996739755,0.07769232444023139,-0.8002923324321245,0.0,0.0010190173477900046,0.03192205112128612,band_power_sqrt,502,0.25062656641596814,52.631578947353304,4.953561926028058,0
2,200.15654535593458,299.89796355058525,99.74141819465066,785,1.0,6.703369026322274,24.132128494760185,0.06192791196577822,-0.7843362277216035,0.0,0.0027601545979296263,0.0525371734863004,band_power_sqrt,785,0.25062656641596814,52.631578947353304,4.978284820432348,0
3,300.05626686860097,399.95641560657924,99.90014873797827,533,1.0,9.878808712189361,35.5637113638817,0.03998601725817015,-0.8007287823728017,0.0,0.0009833343434002021,0.031358162309041676,band_power_sqrt,533,0.25062656641596814,52.631578947353304,3.1882737065982196,0
4,400.16077884836835,499.8864284353487,99.72564958698035,481,1.0,10.939561379161727,39.38242096498222,0.08636135010218614,-0.7684959651161763,0.0,0.005329383848046592,0.07300262904886777,band_power_sqrt,481,0.25062656641596814,52.631578947353304,5.292757879243073,0
5,500.0928559828694,599.9258399489588,99.83298396608939,3026,1.0,1.7391144511998227,6.260812024319362,0.014098826454033387,-0.8192253934570614,0.0,5.566252149268148e-05,0.00746073196762097,band_power_sqrt,3026,0.25062656641596814,52.631578947353304,3.6438042257077976,0
6,600.0013487521395,699.7918129140261,99.79046416188658,602,1.0,8.730888011386114,31.431196840990008,0.05059873858134295,-0.7952334377018122,0.0,0.0014790247498679475,0.038458090824531936,band_power_sqrt,602,0.25062656641596814,52.631578947353304,3.970256714953777,0
7,700.0203525070749,799.848778252844,99.8284257457691,397,1.0,13.265151959378693,47.7545470537633,0.1063910800392866,-0.7583876485645369,0.0,0.007406748665881523,0.08606246955486185,band_power_sqrt,397,0.25062656641596814,52.631578947353304,5.798326324351104,0
8,800.1081035111692,899.9191000838944,99.81099657272512,393,1.0,13.390645888392744,48.206325198213875,0.1179547904146507,-0.7501499083709555,0.0,0.009351962383531228,0.09670554474036754,band_power_sqrt,393,0.25062656641596814,52.631578947353304,6.35310554177239,0
